neighbor_region,pop_2000,pop_2010,pop_2022_proj
Região Urbana Homogênea I,691,869,1083
Região Urbana Homogênea II,421,760,1167
Região Urbana Homogênea III,7809,9041,10519
Região Urbana Homogênea IV,8265,8604,9011
Região Urbana Homogênea V,3436,3115,2730
Região Urbana Homogênea VI,1894,2050,2237
Região Urbana Homogênea VII,945,881,804
Região Urbana Homogênea VIII,6177,7009,8007
Região Urbana Homogênea IX,4309,3993,3614
Região Urbana Homogênea X,8860,9709,10728
Região Urbana Homogênea XI,4063,4594,5231
Região Urbana Homogênea XII,11431,16456,22486
Região Urbana Homogênea XIII,10436,11415,12590
Região Urbana Homogênea XIV,3779,3373,2886
Região Urbana Homogênea XV,7539,7647,7777
Região Urbana Homogênea XVI,1429,1408,1383
Região Urbana Homogênea XVII,6804,6546,6236
Região Urbana Homogênea XVIII,11985,11433,10771
Região Urbana Homogênea XIX,8182,7833,7414
Região Urbana Homogênea XX,527,2534,4942
Região Urbana Homogênea XXI,969,1448,2023
Região Urbana Homogênea XXII,12431,13339,14429
Região Urbana Homogênea XXIII,918,1468,2128
Região Urbana Homogênea XXIV,3392,5134,7224
Região Urbana Homogênea XXV,461,747,1090
Região Urbana Homogênea XXVI,62,34,0
Região Urbana Homogênea XXVII,615,668,732
